pricing_id,item_id,year,expression_type,raw_expression,base_value,base_unit,variable_value,variable_unit,confidence,source_file
PRICE_SALON_FARIO_USO_DIURNO_0078,SALON_FARIO_USO_DIURNO,2026,flat,242000,242000.0,CLP,,,high,cotizacion_tipo_dia_1.csv
PRICE_BAR_ABIERTO_VIP_4H_0079,BAR_ABIERTO_VIP_4H,2026,per_person,38000,,,38000.0,CLP,high,cotizacion_tipo_dia_1.csv
PRICE_SALON_CHINOOK_4H_NOCHE_0080,SALON_CHINOOK_4H_NOCHE,2026,flat,500000,500000.0,CLP,,,high,cotizacion_tipo_dia_1.csv
PRICE_DJ_4H_0081,DJ_4H,2026,flat,750000,750000.0,CLP,,,high,cotizacion_tipo_dia_1.csv
PRICE_PAINTBALL_0082,PAINTBALL,2026,flat,1525000,1525000.0,CLP,,,high,cotizacion_tipo_dia_1.csv
PRICE_DESAYUNO_0083,DESAYUNO,2026,per_person,13750,,,13750.0,CLP,high,precios_alimentacion_y_banqueteria.csv
PRICE_DESAYUNO_INCLUIDO_0084,DESAYUNO_INCLUIDO,2026,per_person,0,,,0.0,CLP,high,precios_alimentacion_y_banqueteria.csv
PRICE_ALMUERZO_BUFFET_0085,ALMUERZO_BUFFET,2026,per_person,27731,,,27731.0,CLP,high,precios_alimentacion_y_banqueteria.csv
PRICE_CENA_BUFFET_0086,CENA_BUFFET,2026,per_person,27731,,,27731.0,CLP,high,precios_alimentacion_y_banqueteria.csv
PRICE_ALMUERZO_CENA_A_LA_CARTA_0087,ALMUERZO_CENA_A_LA_CARTA,2026,per_person,38500,,,38500.0,CLP,high,precios_alimentacion_y_banqueteria.csv
PRICE_ALMUERZO_CENA_A_LA_CARTA_VIP_0088,ALMUERZO_CENA_A_LA_CARTA_VIP,2026,per_person,45000,,,45000.0,CLP,high,precios_alimentacion_y_banqueteria.csv
PRICE_ALMUERZO_CENA_PARRILLA_MIN_30_0089,ALMUERZO_CENA_PARRILLA_MIN_30,2026,per_person,38500,,,38500.0,CLP,high,precios_alimentacion_y_banqueteria.csv
PRICE_ALMUERZO_CENA_PARRILLA_LESS_30_0090,ALMUERZO_CENA_PARRILLA_LESS_30,2026,per_person,45000,,,45000.0,CLP,high,precios_alimentacion_y_banqueteria.csv
PRICE_ONCE_0091,ONCE,2026,per_person,10780,,,10780.0,CLP,high,precios_alimentacion_y_banqueteria.csv
PRICE_HAMBURGUESA_BEBIDA_0092,HAMBURGUESA_BEBIDA,2026,per_person,7900,,,7900.0,CLP,high,precios_alimentacion_y_banqueteria.csv
PRICE_BOX_LUNCH_0093,BOX_LUNCH,2026,per_person,12000,,,12000.0,CLP,high,precios_alimentacion_y_banqueteria.csv
PRICE_CATA_VINOS_0094,CATA_VINOS,2026,base_plus_variable,$300.000 fijo mas $24.000 por persona,300000.0,CLP,24000.0,CLP,high,precios_alimentacion_y_banqueteria.csv
PRICE_HABITACION_SINGLE_HOTEL_BB_0095,HABITACION_SINGLE_HOTEL_BB,2026,per_unit,132693,,,132693.0,CLP,high,precios_alojamiento.csv
PRICE_HABITACION_DOBLE_HOTEL_BB_0096,HABITACION_DOBLE_HOTEL_BB,2026,per_unit,208141,,,208141.0,CLP,high,precios_alojamiento.csv
PRICE_HABITACION_TRIPLE_HOTEL_BB_0097,HABITACION_TRIPLE_HOTEL_BB,2026,per_unit,284501,,,284501.0,CLP,high,precios_alojamiento.csv
PRICE_HABITACION_CUADRUPLE_HOTEL_BB_0098,HABITACION_CUADRUPLE_HOTEL_BB,2026,per_unit,319227,,,319227.0,CLP,high,precios_alojamiento.csv
