ID_Perfil_Precio,Nombre,Costo_Base_Fijo,Costo_Unitario_Pax,Costo_Unitario_Tiempo,Costo_Unitario_Item,Activo,Updated_At
PROF_VALOR_6_PASAJEROS_EN_CABANA_B_B,"Perfil Valor 6 pasajeros, en cabaña B&B",393987,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_VALOR_7_PASAJEROS_EN_CABANA_B_B,"Perfil Valor 7 pasajeros, en cabaña B&B",445870,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_VALOR_8_PASAJEROS_EN_CABANA_B_B,"Perfil Valor 8 pasajeros, en cabaña B&B",497769,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_VALOR_PAX_ADICIONAL_EN_LA_MISMA_HABITACION,Perfil Valor Pax adicional en la misma habitacion,43908,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_EARLY_CHECK_IN_POR_HABITACION_DE_HOTEL,"Perfil Early check in, por habitacion de hotel",29412,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_LATE_CHECK_OUT_POR_HABITACION_DE_HOTEL,"Perfil Late check out, por habitacion de hotel",29412,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_EARLY_CHECK_IN_POR_CABANA,"Perfil Early check in, por cabaña",46218,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_LATE_CHECK_OUT_POR_CABANA,"Perfil Late check out, por cabaña",46218,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_TRASLADO_DE_MALETAS_ENTREGA_Y_RETIRO_FUERA_DE_LAS_HABITACIONES_VALOR_POR_PERSONA,"Perfil Traslado de maletas, entrega y retiro fuera de las habitaciones, valor por persona",5000,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_PRODUCTOS_O_REGALOS_EN_LAS_HABITACIONES_VALOR_POR_PERSONA,"Perfil Productos o regalos en las habitaciones, valor por persona",2000,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_1_RAMO_DE_FLORES_6_ROSAS_ROJAS_BLANCAS_ROSADAS_AMARILLA,"Perfil 1 Ramo de flores, 6 rosas, rojas, blancas, rosadas, amarilla",50000,0,0,0,true,2026-02-19T16:42:08.795Z
