ID_Regla,Nombre,Etapa,Scope,Tipo_Accion,Hook,Condicion_JSON,Payload_JSON,Prioridad,Acumulable,Activo,Updated_At
R_AUT_0034,Precio hibrido detectado - El herido,RESTRICCION_UI,ITEM,WARNING,,"{""==="":[{""var"":""item.id""},""ITEM_EL_HERIDO""]}","{""message"":""Precio base + pax detectado y migrado a perfil de precio"",""base"":500,""perPax"":15,""source"":""500.000+ 15.000 por persona""}",200,true,true,2026-02-19T23:30:00.000Z
R_AUT_0035,Precio hibrido detectado - El Naufrago,RESTRICCION_UI,ITEM,WARNING,,"{""==="":[{""var"":""item.id""},""ITEM_EL_NAUFRAGO""]}","{""message"":""Precio base + pax detectado y migrado a perfil de precio"",""base"":1,""perPax"":20,""source"":""1.000.000 + 20.000 por persona""}",200,true,true,2026-02-19T23:30:00.000Z
R_AUT_0036,Precio hibrido detectado - El Naufrago Full,RESTRICCION_UI,ITEM,WARNING,,"{""==="":[{""var"":""item.id""},""ITEM_EL_NAUFRAGO_FULL""]}","{""message"":""Precio base + pax detectado y migrado a perfil de precio"",""base"":1,""perPax"":35,""source"":""1.000.000+ 35.000 por persona""}",200,true,true,2026-02-19T23:30:00.000Z
R_AUT_0037,Precio hibrido detectado - Conquistando la Cumbre,RESTRICCION_UI,ITEM,WARNING,,"{""==="":[{""var"":""item.id""},""ITEM_CONQUISTANDO_LA_CUMBRE""]}","{""message"":""Precio base + pax detectado y migrado a perfil de precio"",""base"":500,""perPax"":15,""source"":""500.000+ 15.000 por persona""}",200,true,true,2026-02-19T23:30:00.000Z
R_AUT_0038,Precio hibrido detectado - Tiro con Arco,RESTRICCION_UI,ITEM,WARNING,,"{""==="":[{""var"":""item.id""},""ITEM_TIRO_CON_ARCO""]}","{""message"":""Precio base + pax detectado y migrado a perfil de precio"",""base"":660,""perPax"":10,""source"":""660.000+ 10.000 por persona""}",200,true,true,2026-02-19T23:30:00.000Z
R_AUT_0039,Precio hibrido detectado - Mision y Vision,RESTRICCION_UI,ITEM,WARNING,,"{""==="":[{""var"":""item.id""},""ITEM_MISION_Y_VISION""]}","{""message"":""Precio base + pax detectado y migrado a perfil de precio"",""base"":500,""perPax"":15,""source"":""500.000+ 15.000 por persona""}",200,true,true,2026-02-19T23:30:00.000Z
R_AUT_0040,Precio hibrido detectado - Fabrica de sal,RESTRICCION_UI,ITEM,WARNING,,"{""==="":[{""var"":""item.id""},""ITEM_FABRICA_DE_SAL""]}","{""message"":""Precio base + pax detectado y migrado a perfil de precio"",""base"":500,""perPax"":15,""source"":""500.000+ 15.000 por persona""}",200,true,true,2026-02-19T23:30:00.000Z
R_AUT_0041,Precio hibrido detectado - La Pizza Nostra Per Tutti,RESTRICCION_UI,ITEM,WARNING,,"{""==="":[{""var"":""item.id""},""ITEM_LA_PIZZA_NOSTRA_PER_TUTTI""]}","{""message"":""Precio base + pax detectado y migrado a perfil de precio"",""base"":575,""perPax"":55,""source"":""575.000+55.000 por persona""}",200,true,true,2026-02-19T23:30:00.000Z
R_AUT_0042,Precio hibrido detectado - La Pizza Nostra,RESTRICCION_UI,ITEM,WARNING,,"{""==="":[{""var"":""item.id""},""ITEM_LA_PIZZA_NOSTRA""]}","{""message"":""Precio base + pax detectado y migrado a perfil de precio"",""base"":575,""perPax"":30,""source"":""575.000+30.000 por persona""}",200,true,true,2026-02-19T23:30:00.000Z
R_AUT_0043,Precio hibrido detectado - The Boss Grill,RESTRICCION_UI,ITEM,WARNING,,"{""==="":[{""var"":""item.id""},""ITEM_THE_BOSS_GRILL""]}","{""message"":""Precio base + pax detectado y migrado a perfil de precio"",""base"":400,""perPax"":55,""source"":""400.000 + 55.000 por persona""}",200,true,true,2026-02-19T23:30:00.000Z
