Categoria,Item,Horario,Valor Original,Valor Fijo,Valor por persona,Detalle de servicios.
Alimentacion y banqueteria,Cordero a la espada (Cordero con pan amasado y salsas para 20 pax),,$380.000,"380.000,00","0,00","Cordero a la espada para picoteo, acompañado de panes amasados con distintas salsas tales como pebre, lactonesa ajo merkén y criolla."
Alimentacion y banqueteria,"Pierna de cerdo 16 hrs al horno, con amasado y 3 salsas para picoteo",,$380.000,"380.000,00","0,00",Recomendado para  maximo 50 personas 
Alimentacion y banqueteria,"Empanadas coctel( pino, queso y napolitana)",,$1.000,"1.000,00","0,00","Empanada pino, queso, napolitana, valor unitario"
Alimentacion y banqueteria,Servicio de trasnoche Consome 250cc con 2 tapaditos,,Fijo 50.000 mas 10.000 por persona,"50.000,00","10.000,00",
Alimentacion y banqueteria,Punto de hidratación ,,$6.000,"6.000,00","0,00","1 barra de ceral, 1 agua mineral y 1 fruta de estación"
Alimentacion y banqueteria,1 fruta de estación,,$1.500,"1.500,00","0,00",
Alimentacion y banqueteria,1 barra de cereal ,,$1.500,"1.500,00","0,00",
Alimentacion y banqueteria,Torta Chocolate 16 pax,,$53.000,"53.000,00","0,00",Torta de chocolate envuelta en chips de chocolate.
Alimentacion y banqueteria,Torta Carrotcake 14 pax,,$53.000,"53.000,00","0,00","Esponjoso de zanahoria nuez, rellena frosting de queso crema"
Alimentacion y banqueteria,Cheesecake de Oreo 14 pax,,$53.000,"53.000,00","0,00",Imperdible cheesecake Oreo
Alimentacion y banqueteria,Torta San Francisco manjar nuez 15 pax,,$53.000,"53.000,00","0,00",Esponjoso de chocolate rellena de dulce de leche y crema chantilly
Alimentacion y banqueteria,Trozo de torta de Chocolate + estacion cafe o té en comedor,,$7.983,"7.983,00","0,00",Trozo servido a la mesa en el comedor con estacion de té y cafe disponible para autoservicio.
Alimentacion y banqueteria,Trozo de torta Carrot Cake + estacion cafe o té en comedor,,$7.983,"7.983,00","0,00",Trozo servido a la mesa en el comedor con estacion de té y cafe disponible para autoservicio.
Alimentacion y banqueteria,Trozo de Cheese Cake Oreo + estacion cafe o té en comedor,,$7.983,"7.983,00","0,00",Trozo servido a la mesa en el comedor con estacion de té y cafe disponible para autoservicio.
Spa,"Masajista exclusiva, para masajes relax 30 minutos",,$300.000,"300.000,00","0,00","Horario de 10:30 a 20:00, puede hacer maximo 10 masajes de relajación por dia."
Spa,Masajes de relajacion de media hora, ,$25.210,"25.210,00","0,00",Horario de los masajes debe coordinarse previamente al evento. Minimo 3 dias de anticipacion
Spa,Gorros de piscinas  lycra,,$3.782,"3.782,00","0,00",Gorro lycra 
Spa,Gorros de piscinas  latex,,$2.101,"2.101,00","0,00",Gorro Latex 
Spa,Piscina temperada nocturna exclusiva hasta 2 horas,20:00- 21:00,$150.000,"250.000,00","0,00",Piscina temperada nocturna exclusiva por 1 hora de 20:00 a 21:00
Alojamiento,Habitación single hotel B&B,,$120.630,"120.630,00","0,00","Desayuno, cabalgatas, canopy, kayak, botes, standup paddle, canchas tenis, pesca con mosca y piscina temperada"
Alojamiento,Habitación Doble hotel B&B,,$189.219,"189.219,00","0,00","Desayuno, cabalgatas, canopy, kayak, botes, standup paddle, canchas tenis, pesca con mosca y piscina temperada"
Alojamiento,Habitación Triple hotel B&B,,$239.712,"239.712,00","0,00","Desayuno, cabalgatas, canopy, kayak, botes, standup paddle, canchas tenis, pesca con mosca y piscina temperada"
Alojamiento,Habitación Cuadruple hotel  B&B,,$290.206,"290.206,00","0,00","Desayuno, cabalgatas, canopy, kayak, botes, standup paddle, canchas tenis, pesca con mosca y piscina temperada"
Alojamiento,Habitación Quintuple hotel B&B,,$342.097,"342.097,00","0,00","Desayuno, cabalgatas, canopy, kayak, botes, standup paddle, canchas tenis, pesca con mosca y piscina temperada"
Alojamiento,"Valor 6 pasajeros, en cabaña B&B",,$393.987,"393.987,00","0,00","Desayuno, cabalgatas, canopy, kayak, botes, standup paddle, canchas tenis, pesca con mosca y piscina temperada"
Alojamiento,"Valor 7 pasajeros, en cabaña B&B",,$445.870,"445.870,00","0,00","Desayuno, cabalgatas, canopy, kayak, botes, standup paddle, canchas tenis, pesca con mosca y piscina temperada"
Alojamiento,"Valor 8 pasajeros, en cabaña B&B",,$497.769,"497.769,00","0,00","Desayuno, cabalgatas, canopy, kayak, botes, standup paddle, canchas tenis, pesca con mosca y piscina temperada"
Alojamiento,Valor Pax adicional en la misma habitacion,,$43.908,"43.908,00","0,00","Check in de habitaciones desde las 4 PM.Incluye: desayuno, cabalgatas, canopy, kayak, botes, standup paddle, canchas tenis, minigolf, baby, pesca con mosca y piscina temperada"
Alojamiento,"Early check in, por habitacion de hotel",,$29.412,"29.412,00","0,00","Check in anticipado desde las 12:00, segun disponibilidad."
Alojamiento,"Late check out, por habitacion de hotel",,$29.412,"29.412,00","0,00","Check out hasta las 16:00, segun disponibilidad"
Alojamiento,"Early check in, por cabaña",,$46.218,"46.218,00","0,00","Check in anticipado desde las 12:00, segun disponibilidad."
Alojamiento,"Late check out, por cabaña",,$46.218,"46.218,00","0,00","Check out hasta las 16:00, segun disponibilidad"
Alojamiento,"Traslado de maletas, entrega y retiro fuera de las habitaciones, valor por persona",,$5.000,"5.000,00","0,00",
Alojamiento,"Productos o regalos en las habitaciones, valor por persona",,$2.000,"2.000,00","0,00","Regalos, aguas o algun detalle en las habitaciones, precio por persona"
Otros articulos ,"1 Ramo de flores, 6 rosas, rojas, blancas, rosadas, amarilla",,$50.000,"50.000,00","0,00",encargar hasta 72 horas antes
Otros articulos ,1 Chocolate Sahne Nuss 250g + espumante o botella de vino ,,$25.000,"25.000,00","0,00",
Otros articulos ,,,,"0,00","0,00",
Otros articulos ,Resma de Hojas ,,$12.000,"12.000,00","0,00",
Otros articulos ,Lapices azul Pasta ,,$1.000,"1.000,00","0,00",
Otros articulos ,Corrector lapiz ,,$3.500,"3.500,00","0,00",
Otros articulos ,Plumones permanente ,,$1.000,"1.000,00","0,00",
Otros articulos ,Plumones de pizarra ,,$800,"800,00","0,00",
Otros articulos ,Fotocopias o impresion color ,,$600,"600,00","0,00",hoja de color tamaño carta 
Otros articulos ,Fotocopias o impresion negro,,$300,"300,00","0,00",hoja en blanco y negro tamaño carta 
Otros articulos ,Almuerzos productoras o choferes en buffet,,$16.387,"16.387,00","0,00",Exclusivo solo a los que traen a las empresas 
Actividades ,Guias exclusivos para caminatas,,$80.000,"80.000,00","0,00",1 guia cada 20 o 25 personas.( Ideal minimo dos para abrir y cerrar el grupo para caminatas)
Actividades ,"Caminata ""la tenca"" de forma exclusiva, 1,5 horas",,300.000+ 10.000 por persona,"300.000,00","10.000,00","Caminata por circuito la tenca, entremedio de bosques y arroyos del lugar. Es un recorrido por los alrededores del hotel. Tiene una dificultad baja, duracion 1,5 horas y una distancia de 2,3 kilometros. Incluye un agua por persona"
Actividades ,"Caminata al mirador exclusiva.  Dificultad media, duracion: 1 hora",,300.000+ 10.000 por persona,"300.000,00","10.000,00","Caminata a un mirador donde se puede observar el valle del aconcagua. Circuito ubicado al frente del hotel y es de dificultad media, dura 1 hora y tiene una distancia de 2 kilometros. Caminata incluyeun agua por persona"
